code,icao,name,latitude,longitude,elevation,url,time_zone,city_code,country,city,state,county,type
AAA,NTGA,Anaa,-17.3506654,-145.51111994065877,36,,Pacific/Tahiti,AAA,PF,,,,AP
AAB,YARY,Arrabury Airport,-26.6967835,141.049092,328,,Australia/Brisbane,AAB,AU,Tanbar,Queensland,Barcoo Shire,AP
AAC,HEAR,El Arish International Airport,31.0742836,33.829171518733695,85,,Africa/Cairo,AAC,EG,Arish,Muhafazat Shamal Sina',,AP
AAD,HCAD,Adado Airport,6.09628635,46.637708371259194,980,,Africa/Khartoum,AAD,SO,Adado,,,AP
AAE,DABB,Les Salines Airport,36.821392,7.811857,36,,Africa/Algiers,AAE,DZ,El Hadjar,Annaba,,AP
AAF,KAAF,Apalachicola Regional,29.7302356,-85.02964472072705,19,,America/New_York,AAF,US,Apalachicola,Florida,Franklin County,AP
AAG,SSYA,Arapoti,-24.1037812,-49.78949435424242,2608,,America/Sao_Paulo,AAG,BR,Jaguariaiva,Parana,Jaguariaiva,AP
AAH,EDKA,Aachen/Merzbruck,50.75,6.133333,754,https://www.flugplatz-aachen.de,Europe/Berlin,AAH,DE,,,,AP
AAI,SWRA,Arraias,-12.916667,-46.933334,2490,,America/Araguaina,AAI,BR,Campos Belos,Goias,Campos Belos,AP
AAJ,SMCA,Cayana Airstrip,3.8987445,-55.5779688,278,,America/Paramaribo,AAJ,SR,Kajana,Sipaliwini,Boven Suriname,AP
AAK,NGUK,Aranuka,0.166667,173.58333,0,,Pacific/Tarawa,AAK,KI,,,,AP
AAL,EKYT,Aalborg Airport,57.0864352,9.868075521300991,19,http://www.aal.dk,Europe/Copenhagen,AAL,DK,Vadum,North Denmark,Alborg Kommune,AP
AAM,FAMD,Mala Mala,-24.8,31.533333,1082,,Africa/Johannesburg,AAM,ZA,,,,AP
AAN,OMAL,Al Ain Airport,24.260231,55.616627,830,,Asia/Dubai,AAN,AE,,,,AP
AAO,SVAN,Anaco,9.4298739,-64.47086334549915,692,,America/Caracas,AAO,VE,Anaco,Anzoategui,Municipio Anaco,AP
AAP,WALS,Aji Pangeran Tumenggung Pranoto International Airport,-0.373611,117.255556,154,http://www.proyek.dishubprovkaltim.info/?pro=1,Asia/Jakarta,AAP,ID,,,,AP
AAQ,URKA,Anapa Airport,45.00265265,37.34498313723325,137,http://basel.aero/en/anapa/,Europe/Moscow,AAQ,RU,Anapa,Krasnodarskiy,,AP
AAR,EKAH,Aarhus Airport,56.304542549999994,10.612849817576597,45,http://www.aar.dk/default.asp?id=87,Europe/Copenhagen,AAR,DK,Ebeltoft,Central Jutland,Syddjurs Kommune,AP
AAS,,Apalapsili,-3.880849,139.3107060627146,3005,,Asia/Jayapura,AAS,ID,,,,AP
AAT,ZWAT,Altay Airport,47.74833705,88.08948249042332,2408,,Asia/Urumqi,AAT,CN,Awiytan,Xinjiang Uygur Zizhiqu,,AP
AAU,NSAU,Asau,-13.458333,-172.6,0,,Pacific/Apia,AAU,WS,Asau,Vaisigano,,AP
AAV,RPMA,Allah Valley,6.36768745,124.75266160348093,629,,Asia/Manila,AAV,PH,Surallah,South Cotabato,,AP
AAW,OPAB,Abbottabad,34.2,73.25,4061,,Asia/Karachi,AAW,PK,Abbottabad,Khyber Pakhtunkhwa,,AP
AAX,SBAX,Araxa Airport,-19.563132000000003,-46.96040575380038,3267,,America/Sao_Paulo,AAX,BR,Araxa,Minas Gerais,Araxa,AP
AAY,OYGD,Al Ghaydah,16.1879658,52.17271501755243,114,,Asia/Aden,AAY,YE,Al Ghayzah,Al Mahrah,Al Ghaydah,AP
AAZ,MGQZ,Quetzaltenango,14.8611558,-91.5067713438188,7795,,America/Guatemala,AAZ,GT,Olintepeque,Quetzaltenango,,AP
ABA,UNAA,Abakan Airport,53.716667,91.5,807,,Asia/Krasnoyarsk,ABA,RU,Podsineye,Khakasiya,,AP
ABB,DNAS,Asaba International Airport,6.20565465,6.663854565066257,216,,Africa/Lagos,ABB,NG,Asaba,,,AP
ABC,LEAB,Los Llanos,38.948334,-1.863333,2276,http://www.aena.es/csee/Satellite?cid=1046767815090&pagename=subHome&Language=EN_GB&SiteName=LEAB&c=Page,Europe/Madrid,ABC,ES,,,,AP
ABD,OIAA,Abadan Airport,30.3668469,48.228439506236356,26,,Asia/Tehran,ABD,IR,Abadan,Khuzestan,,AP
ABE,KABE,Lehigh Valley International Airport,40.651163100000005,-75.44225386838299,374,,America/New_York,ABE,US,Catasauqua,Pennsylvania,Lehigh County,AP
ABF,NGAB,Abaiang,1.670833,173.30417,0,,Pacific/Tarawa,ABF,KI,Buota Village,Gilbert Islands,Tarawa,AP
ABG,YABI,Abingdon,-17.666668,143.2,600,,Australia/Brisbane,ABG,AU,,,,AP
ABH,YAPH,Alpha,-23.65,146.63333,1190,,Australia/Brisbane,ABH,AU,,,,AP
ABI,KABI,Abilene Regional Airport,32.407743749999995,-99.67936992920886,1791,,America/Chicago,ABI,US,,,,AP
ABJ,DIAP,Felix Houphouet Boigny Airport,5.264928299999999,-3.925957338659794,42,,Africa/Abidjan,ABJ,CI,Abidjan,Lagunes,,AP
ABK,HAKD,Kabri Dar,6.733889,44.26611,1738,,Africa/Addis_Ababa,ABK,ET,,,,AP
ABL,PAFM,Ambler Airport,67.1058333,-157.8536111,190,,America/Anchorage,ABL,US,,,,AP
ABM,YNPE,Northern Peninsula Airport,-10.942619,142.45033,98,http://www.nparc.qld.gov.au/airport,Australia/Brisbane,ABM,AU,,,,AP
ABN,SMBN,Albina,5.5,-54.083332,108,,America/Paramaribo,ABN,SR,,,,AP
ABO,DIAO,Aboisso,5.433333,-3.216667,95,,Africa/Abidjan,ABO,CI,Aboisso,Sud-Comoe,,AP
ABP,,Atkamba,-6.0647021500000005,141.09521515526734,36,,Pacific/Port_Moresby,ABP,PG,,,,AP
ABQ,KABQ,Albuquerque International Sunport,35.037669449999996,-106.61096752176844,5308,http://www.abqsunport.com/,America/Denver,ABQ,US,Albuquerque,New Mexico,Bernalillo County,AP
ABR,KABR,Aberdeen Municipal Airport,45.4525,-98.42611,1289,,America/Chicago,ABR,US,Aberdeen,South Dakota,Brown County,AP
ABS,HEBL,Abu Simbel,22.372228200000002,31.61302768093995,511,,Africa/Cairo,ABS,EG,,,,AP
ABT,OEBA,Al-Aqiq Airport,20.296139,41.634277,5446,,Asia/Riyadh,ABT,SA,Al Bahah,Mintaqat al Bahah,,AP
ABU,WATA,Haliwen Airport,-9.133333,124.88333,1250,,Asia/Makassar,ABU,ID,Atambua,East Nusa Tenggara,,AP
ABV,DNAA,Nnamdi Azikiwe International Airport,9.00668065,7.265007350650086,1092,http://www.faannigeria.org/nigeria-airport.php?airport=3,Africa/Lagos,ABV,NG,Madala,Abuja Federal Capital Territory,,AP
ABW,,Abau,-10.183333,148.7,0,,Pacific/Port_Moresby,ABW,PG,,,,AP
ABX,YMAY,Albury Airport,-36.06894285,146.95187679604823,544,,Australia/Sydney,ABX,AU,East Albury,New South Wales,Albury Municipality,AP
ABY,KABY,Southwest Georgia Regional Airport,31.5339678,-84.19254493414799,213,,America/New_York,ABY,US,,,,AP
ABZ,EGPD,Aberdeen International Airport,57.20195485,-2.2019913504766446,167,http://www.aberdeenairport.com/,Europe/London,ABZ,GB,Dyce,Scotland,Aberdeen City,AP
ACA,MMAA,Acapulco International Airport,16.756593600000002,-99.75293698229589,22,,America/Mexico_City,ACA,MX,10 de Abril,Guerrero,Acapulco de Juarez,AP
ACB,KACB,Antrim County,44.98832545,-85.19719629581977,659,,America/Detroit,ACB,US,Bellaire,Michigan,Antrim County,AP
ACC,DGAA,Kotoka International Airport,5.60428935,-0.167967625794569,196,,Africa/Accra,ACC,GH,Accra,Greater Accra,,AP
ACD,SKAD,Acandi,8.516667,-77.3,72,,America/Bogota,ACD,CO,,,,AP
ACE,GCRR,Lanzarote Airport,28.94568045,-13.60758816051166,42,http://www.aena.es/en/lanzarote-airport/index.html,Atlantic/Canary,ACE,ES,Tias,Canary Islands,Provincia de Las Palmas,AP
ACF,ZWAL,Alaer Talimu Airport,40.464167,81.246944,3323,,Asia/Urumqi,ACF,CN,Aral,Xinjian Autonomous Region,,AP
ACH,LSZR,Altenrhein Airport,47.4859603,9.5598603,1272,,Europe/Zurich,ACH,CH,Rheineck,Saint Gallen,Wahlkreis Rheintal,AP
ACI,EGJA,Alderney Airport,49.70694185,-2.214498597174802,298,,Europe/Guernsey,ACI,GB,Beaumont-Hague,Lower Normandy,Departement de la Manche,AP
ACJ,VCCA,Anuradhapura,8.35,80.38333,265,,Asia/Colombo,ACJ,LK,Anuradhapura,North Central,,AP
ACK,KACK,Nantucket Memorial Airport,41.256350600000005,-70.0642270361515,45,,America/New_York,ACK,US,Nantucket,Massachusetts,Nantucket County,AP
ACL,,Aguaclara,4.7470509,-72.9919234,1036,,America/Bogota,ACL,CO,Sabanalarga,Casanare,,AP
ACM,,Arica,-2.0,-71.833336,557,,America/Bogota,ACM,CO,Pebas,Loreto,Mariscal Ramon Castilla,AP
ACN,MMCC,International,29.3,-100.916664,944,,America/Matamoros,ACN,MX,,,,AP
ACO,MRAF,Cobano Airport,9.693365,-85.091216,495,https://www.cobanoairport.com/en/,America/Costa_Rica,ACO,CR,Cobano,Puntarenas Province,,AP
ACP,OITM,Sahand,37.347790399999994,46.12410489796737,4340,,Asia/Tehran,ACP,IR,Bonab,East Azerbaijan,,AP
ACR,SKAC,Araracuara,-0.383333,-72.3,482,,America/Bogota,ACR,CO,,,,AP
ACS,UNKS,Achinsk,56.270123999999996,90.57983018239561,974,,Asia/Krasnoyarsk,ACS,RU,Achinsk,Krasnoyarskiy,,AP
ACT,KACT,Waco Municipal Airport,31.609133,-97.22321,498,,America/Chicago,ACT,US,Gholson,Texas,McLennan County,AP
ACU,,Achutupo,9.576389,-79.72444,0,,America/Panama,ACU,PA,Portobelo,Colon,Distrito Portobelo,AP
ACV,KACV,Arcata-Eureka Airport,40.9763645,-124.10842589937442,147,,America/Los_Angeles,ACV,US,McKinleyville,California,Humboldt County,AP
ACX,ZUYI,Xingyi Airport,25.083970700000002,104.95880288018984,4133,,Asia/Shanghai,ACX,CN,Xinzhou,Guangxi Zhuangzu Zizhiqu,,AP
ACY,KACY,Atlantic City International Airport,39.45708535,-74.57027649092205,55,https://www.sjta.com/acairport/,America/New_York,AIY,US,Pomona,New Jersey,Atlantic County,AP
ACZ,OIZB,Zabol Airport,31.097024750000003,61.54236908127046,1574,,Asia/Tehran,ACZ,IR,Zabol,Sistan and Baluchestan,,AP
ADA,LTAF,Adana Airport,36.98503,35.29736,45,,Europe/Istanbul,ADA,TR,Seyhan,Adana,,AP
ADB,LTBJ,Izmir Adnan Menderes Airport,38.289593249999996,27.15881973653169,337,http://www.adnanmenderesairport.com,Europe/Istanbul,IZM,TR,,,,AP
ADC,AYAN,Andakombe,-7.1371023000000005,145.74531004892887,3631,,Pacific/Port_Moresby,ADC,PG,,,,AP
ADD,HAAB,Addis Ababa Bole International Airport,8.97958075,38.79727968929066,7601,http://www.ethiopianairports.com,Africa/Addis_Ababa,ADD,ET,Addis Ababa,Adis Abeba,,AP
ADE,OYAA,International,12.826116,45.037537,32,,Asia/Aden,ADE,YE,Khawr Maksar,Aden,Khur Maksar,AP
ADF,LTCP,Adiyaman Airport,37.75,38.266666,2083,,Europe/Istanbul,ADF,TR,Adiyaman,Adiyaman,,AP
ADG,KADG,Lenawee County,41.9,-84.03333,800,,America/Detroit,ADG,US,Adrian,Michigan,Lenawee County,AP
ADH,UEEA,Aldan,58.6034931,125.40446306539265,2250,,Asia/Yakutsk,ADH,RU,Aldan,Sakha,,AP
ADI,FYAR,Arandis,-22.4,15.0,2043,,Africa/Windhoek,ADI,NA,Arandis,Erongo,,AP
ADJ,OJAM,Marka International Airport,31.97342425,35.994612548528934,2454,,Asia/Amman,AMM,JO,Amman,Amman,,AP
ADK,PADK,Adak Island Ns,51.88278,-176.64473,29,,America/Adak,ADK,US,,,,AP
ADL,YPAD,Adelaide Airport,-34.947240449999995,138.5330688373241,26,,Australia/Adelaide,ADL,AU,Plympton,South Australia,City of West Torrens,AP
ADM,KADM,Ardmore Municipal Airport,34.3028,-97.0192,711,,America/Chicago,ADM,US,Dickson,Oklahoma,Carter County,AP
ADN,SKAN,Andes,5.666667,-75.933334,6056,,America/Bogota,ADN,CO,Los Andes,Antioquia,,AP
ADO,YAMK,Andamooka,-31.016666,137.15,442,,Australia/Adelaide,ADO,AU,,,,AP
ADP,VCCG,Ampara,7.338524700000001,81.62522424646704,144,,Asia/Colombo,ADP,LK,,,,AP
ADQ,PADQ,Kodiak Benny Benson State Airport,57.755276,-152.51297,45,,America/Anchorage,ADQ,US,,,,AP
ADR,KPHH,Andrews,33.45,-79.566666,42,,America/New_York,ADR,US,Andrews,South Carolina,Williamsburg County,AP
ADS,KADS,Addison Airport,32.783333,-97.3,521,,America/Chicago,DFW,US,Haltom City,Texas,Tarrant County,AP
ADT,KADH,Ada Municipal,34.80490015,-96.66761600367232,977,,America/Chicago,ADT,US,Ada,Oklahoma,Pontotoc County,AP
ADU,OITL,Ardabil Airport,38.32367895,48.41727862641293,4324,,Asia/Tehran,ADU,IR,Namin,Ardabil,,AP
ADV,,El Daein,11.4043102,26.1186495,1522,,Africa/Khartoum,ADV,SD,El Daein,Eastern Darfur,,AP
ADW,KADW,Andrews AFB,38.8057469,-76.87741646487015,255,http://www.jba.af.mil/,America/New_York,ADW,US,Andrews AFB,Maryland,Prince George's County,AP
ADX,EGQL,Leuchars,56.375599050000005,-2.8596339552168737,19,,Europe/London,ADX,GB,Leuchars,Scotland,Fife,AP
ADY,FAAL,Alldays,-22.67767555,29.053395555022227,2683,,Africa/Johannesburg,ADY,ZA,,,,AP
ADZ,SKSP,Gustavo Rojas Pinilla Airport,12.586047,-81.70221,39,,America/Bogota,ADZ,CO,San Andres,"Archipielago de San Andres, Providencia y Santa Catalina",,AP
AEA,NGTB,Abemama Atoll,0.490833,173.8289948,36,,Pacific/Tarawa,AEA,KI,,,,AP
AEB,ZGBS,Youjiang,23.72020895,106.9609714096124,452,,Asia/Shanghai,AEB,CN,Tianzhou,Guangxi Zhuangzu Zizhiqu,,AP
AED,,Aleneva,58.033333,-152.9,1099,,America/Anchorage,AED,US,,,,AP
AEE,,Adareil Airport,10.052439199999998,32.962007213556745,1246,,Africa/Juba,AEE,SS,,,,AP
AEG,WIME,Aek Godang,1.3999603999999999,99.42983272544998,925,,Asia/Jakarta,AEG,ID,Padangsidempuan,North Sumatra,,AP
AEH,FTTC,Abéché,13.8465726,20.849645040165157,1778,,Africa/Ndjamena,AEH,TD,Abeche,Ouaddai,,AP
AEI,,Algeciras,36.1289,-5.441301,42,,Europe/Madrid,AEI,ES,Algeciras,Andalusia,Provincia de Cadiz,AP
AEK,AYAX,Aseki,-7.366667,146.28334,3694,,Pacific/Port_Moresby,AEK,PG,,,,AP
AEL,KAEL,Albert Lea,43.6800949,-93.36737639309429,1250,,America/Chicago,AEL,US,Albert Lea,Minnesota,Freeborn County,AP
AEM,UHTG,Amgu,45.8414555,137.67364088576272,22,,Asia/Vladivostok,AEM,RU,,,,AP
AEO,GQNA,Aioun El Atrouss,16.71068715,-9.638219081447929,964,,Africa/Nouakchott,AEO,MR,,,,AP
AEP,SABE,Jorge Newbery Airport,-34.55622,-58.41667,42,,America/Argentina/Buenos_Aires,BUE,AR,Colegiales,Buenos Aires F.D.,,AP
AEQ,,Ar Horqin Airport,43.90797955,120.14934798559226,1400,,Asia/Shanghai,AEQ,CN,Tianshan,Inner Mongolia,,AP
AER,URSS,Sochi International Airport,43.44397145,39.94009276010438,39,http://basel.aero/en/sochi/,Europe/Moscow,AER,RU,Orel-Izumrud,Krasnodarskiy,,AP
AES,ENAL,Vigra Alesund Airport,62.56018535,6.113415709021158,49,http://www.avinor.no/lufthavn/alesund,Europe/Oslo,AES,NO,Valderoy,More og Romsdal,Giske,AP
AET,PFAL,Allakaket,66.55193399999999,-152.62144819086524,439,,America/Anchorage,AET,US,,,,AP
AEU,OIBA,Abu Musa,25.875993649999998,55.034265964970395,16,,Asia/Tehran,AEU,IR,,,,AP
AEX,KAEX,Alexandria International Airport,31.329273649999998,-92.54095486627727,65,,America/Chicago,AEX,US,Alexandria,Louisiana,Rapides Parish,AP
AEY,BIAR,Akureyri Airport,65.65698725,-18.070607134573716,39,,Atlantic/Reykjavik,AEY,IS,Akureyri,Northeast,,AP
AFA,SAMR,San Rafael Airport,-34.58917,-68.40056,2454,,America/Argentina/Mendoza,AFA,AR,San Rafael,Mendoza,,AP
AFD,FAPA,Port Alfred,-33.583332,26.883333,118,,Africa/Johannesburg,AFD,ZA,,,,AP
AFF,KAFF,USAF Academy Airstrip,38.833332,-104.7,6266,,America/Denver,COS,US,Cimarron Hills,Colorado,El Paso County,AP
AFI,SKAM,Amalfi,6.8953157,-75.0467996,4855,,America/Bogota,AFI,CO,Amalfi,Antioquia,,AP
AFK,,Ampara Kondavattavan Tank Airport,7.342169543255904,81.62931220557938,131,,Asia/Colombo,ADP,LK,Ampara,,,AP
AFL,SBAT,Alta Floresta Airport,-9.866163,-56.10603812089458,790,,America/Cuiaba,AFL,BR,,,,AP
AFN,KAFN,Municipal,42.833332,-72.066666,1122,http://silverranchairpark.com/,America/New_York,AFN,US,Jaffrey,New Hampshire,Cheshire County,AP
AFO,KAFO,Municipal,42.733334,-110.933334,6230,http://www.aftonairpark.com/,America/Denver,AFO,US,Afton,Wyoming,Lincoln County,AP
AFR,AYAF,Afore,-9.138344750000002,148.39097141857889,2385,,Pacific/Port_Moresby,AFR,PG,,,,AP
AFS,UTSN,Zarafshan,41.6155248,64.23177140418719,1338,,Asia/Samarkand,AFS,UZ,Tomdibuloq,Navoiy,,AP
AFT,AGAF,Afutara Aerodrome,-9.2,160.85,0,,Pacific/Guadalcanal,AFT,SB,,,,AP
AFW,KAFW,Fort Worth Alliance Airport,32.992997849999995,-97.31836461280574,643,http://www.allianceairport.com/,America/Chicago,DFW,US,Haslet,Texas,Tarrant County,AP
AFY,LTAH,Afyon,38.733334,30.6,3316,,Europe/Istanbul,AFY,TR,Afyonkarahisar,Afyonkarahisar,,AP
AFZ,OIMS,Sabzevar,36.171675,57.59941595852304,3011,,Asia/Tehran,AFZ,IR,Sabzevar,Razavi Khorasan,,AP
AGA,GMAD,Agadir Al Massira Airport,30.378326,-9.555895,62,,Africa/Casablanca,AGA,MA,Inezgane,Souss-Massa-Draa,Inezgane-Ait Mellou,AP
AGB,EDMA,Augsburg Airport,48.425278,10.931667,1492,https://www.augsburg-airport.de/,Europe/Berlin,MUC,DE,Rehling,Bavaria,Swabia,AP
AGC,KAGC,Allegheny County Airport,40.3534454,-79.92904654320128,1250,,America/New_York,PIT,US,Pleasant Hills,Pennsylvania,Allegheny County,AP
AGD,WASG,Anggi,-1.383333,133.86667,6627,,Asia/Jayapura,AGD,ID,Warmare,West Papua,,AP
AGE,EDWG,Flugplatz,53.783333,7.916667,22,,Europe/Berlin,AGE,DE,Wangerooge,Lower Saxony,,AP
AGF,LFBA,La Garenne Airport,44.17361,0.598611,167,,Europe/Paris,AGF,FR,Le Passage,Aquitaine,Departement du Lot-et-Garonne,AP
AGG,,Angoram,-4.168611,144.07388,19,,Pacific/Port_Moresby,AGG,PG,,,,AP
AGH,ESTA,Angelholm Helsingborg Airport,56.297234599999996,12.852846835898422,36,http://www.lfv.se/templates/LFV_AirportStartPage____4777.aspx,Europe/Stockholm,AGH,SE,,,,AP
AGI,SMWA,Wageningen,5.833333,-56.833332,19,,America/Paramaribo,AGI,SR,Wageningen,Nickerie,,AP
AGJ,RORA,Aguni,26.59300295,127.23985985060742,32,,Asia/Tokyo,AGJ,JP,,,,AP
AGK,,Kagua,-6.403333,143.84666,5554,,Pacific/Port_Moresby,AGK,PG,,,,AP
AGL,AYWG,Wanigela,-9.33738355,149.15610272068812,29,,Pacific/Port_Moresby,AGL,PG,,,,AP
AGM,,Tasiilaq,65.6,-37.683334,534,,America/Godthab,AGM,GL,,,,AP
AGN,PAGN,Angoon,57.503887,-134.58333,0,,America/Juneau,AGN,US,,,,AP
AGO,KAGO,Municipal,33.266666,-93.23333,314,,America/Chicago,AGO,US,Magnolia,Arkansas,Columbia County,AP
AGP,LEMG,Malaga Airport,36.67876135,-4.499980126161259,52,,Europe/Madrid,AGP,ES,,,,AP
AGQ,LGAG,Agrinion,38.6137021,21.3929834,101,,Europe/Athens,AGQ,GR,Dhokimion,West Greece,Nomos Aitolias kai Akarnanias,AP
AGR,VIAG,Kheria,27.158333,77.962776,574,,Asia/Kolkata,AGR,IN,Agra,Uttar Pradesh,Agra,AP
AGS,KAGS,Augusta Regional Airport,33.37230205,-81.9650639098103,101,,America/New_York,AGS,US,,,,AP
AGT,SGES,Alejo Garcia Airport,-25.5,-54.833332,810,,America/Asuncion,AGT,PY,Colonia Yguazu,Alto Parana,,AP
AGU,MMAS,Aguascalients International Airport,21.701416,-102.31374,6118,https://www.aeropuertosgap.com.mx/es/aguascalientes.html,America/Mexico_City,AGU,MX,Penuelas (El Cienegal),Aguascalientes,Aguascalientes,AP
AGV,SVAC,Acarigua,9.552222,-69.23333,711,,America/Caracas,AGV,VE,Araure,Portuguesa,Municipio Araure,AP
AGW,,Agnew,-12.1453511,142.1490609,200,,Australia/Brisbane,AGW,AU,,,,AP
AGX,VOAT,Agatti Island Airport,10.828967,72.17987,26,,Asia/Kolkata,AGX,IN,Kavaratti,Laccadives,Lakshadweep,AP
AGZ,FAAG,Aggeneys,-29.05,18.85,2818,,Africa/Johannesburg,AGZ,ZA,Pofadder,Northern Cape,Namakwa District Municipality,AP
AHA,,Naha AFB,26.2,127.65,32,,Asia/Tokyo,OKA,JP,,,,AP
AHB,OEAB,Abha Regional Airport,18.23429,42.657574,6876,,Asia/Riyadh,AHB,SA,,,,AP
AHC,KAHC,Amedee AAF,40.15,-120.13333,4055,,America/Los_Angeles,AHC,US,Janesville,California,Lassen County,AP
AHD,,Downtown,34.166668,-97.13333,902,,America/Chicago,ADM,US,Ardmore,Oklahoma,Carter County,AP
AHE,NTHE,Ahe Airport,-14.4280996,-146.2570038,32,http://www.sia.aviation-civile.gouv.fr/aip/enligne/PDF_AIPparSSection/AIP%20PAC-P/AD/2/0703_AD%202.NTHE.pdf,Pacific/Tahiti,AHE,PF,,,,AP
AHF,,Municipal,40.3,-99.9,2152,,America/Chicago,AHF,US,Arapahoe,Nebraska,Furnas County,AP
AHG,,Agalega Island Airstrip,-10.3717,56.60313,4,,Indian/Mauritius,AHG,MU,,,,AP
AHH,KAHH,Municipal,45.3,-92.35,1089,,America/Chicago,AHH,US,Amery,Wisconsin,Polk County,AP
AHI,WAPA,Amahai,-3.3478518499999996,128.92746328743664,59,,Asia/Jayapura,AHI,ID,Amahai,Maluku,,AP
AHJ,ZUHY,Hongyuan Airport,32.536783299999996,102.35022953452355,11591,,Asia/Shanghai,AHJ,CN,Qiongxi,Sichuan,,AP
AHL,SYAH,Aishalton,2.4755665000000002,-59.31944770153805,521,,America/Guyana,AHL,GY,,,,AP
AHM,KS03,Sumner Parker Field,42.19029999,-122.6610031,1827,,America/Los_Angeles,AHM,US,Ashland,Oregon,Jackson County,AP
AHN,KAHN,Athens-Ben Epps,33.9487053,-83.32973997812988,767,,America/New_York,AHN,US,Winterville,Georgia,Clarke County,AP
AHO,LIEA,Alghero-Fertilia Airport,40.63087935,8.288375274221512,62,http://www.aeroportodialghero.it/home_en.asp,Europe/Rome,AHO,IT,Alghero,Sardinia,Provincia di Sassari,AP
AHS,MHAH,Ahuas,15.4819002,-84.4160995,32,,America/Tegucigalpa,AHS,HN,Wawina,Gracias a Dios,,AP
AHU,GMTA,Charif Al Idrissi Airport,35.17972,-3.836944,42,,Africa/Casablanca,AHU,MA,Imzourene,Taza-Al Hoceima-Taounate,,AP
AHW,,Saih Rawl,31.34292,48.74668,55,,Asia/Tehran,AHW,OM,,,,AP
AHY,,Ambatolahy,-20.0153265,45.5375864,314,,Indian/Antananarivo,AHY,MG,,,,AP
AHZ,LFHU,Alpe D Huez,45.0870881,6.082792927954502,6023,,Europe/Paris,AHZ,FR,Huez,Rhone-Alpes,Departement de l'Isere,AP
AIA,KAIA,Alliance Airport,42.051666,-102.80666,3904,,America/Denver,AIA,US,Alliance,Nebraska,Box Butte County,AP
AIC,,Airok,7.5,170.83333,16,,Pacific/Majuro,AIC,MH,,,,AP
AID,KAID,Municipal,40.166668,-85.683334,882,,America/Indiana/Indianapolis,AID,US,Anderson,Indiana,Madison County,AP
AIE,AYAO,Aiome,-5.166667,144.66667,4478,,Pacific/Port_Moresby,AIE,PG,,,,AP
AIF,SNAX,Assis,-22.666668,-50.416668,1804,,America/Sao_Paulo,AIF,BR,Assis,Sao Paulo,Assis,AP
AIG,FEFY,Yalinga,6.521706,23.2605938,2001,,Africa/Bangui,AIG,CF,,,,AP
AIH,AYAK,Aiambak,-7.34368705,141.2679197273077,118,,Pacific/Port_Moresby,AIH,PG,,,,AP
AII,HDAS,Alisabieh,11.15,42.716667,2290,,Africa/Djibouti,AII,DJ,'Ali Sabieh,Ali Sabieh,,AP
AIK,KAIK,Municipal,33.566666,-81.71667,580,,America/New_York,AIK,US,Aiken,South Carolina,Aiken County,AP
AIL,,Ailigandi,9.25,-78.083336,55,,America/Panama,AIL,PA,Ailigandi,Guna Yala,,AP
AIM,,Ailuk Island,10.2164987,169.9825736,45,,Pacific/Majuro,AIM,MH,,,,AP
AIN,PAWI,Wainwright,70.63790295000001,-160.0150279490063,22,,America/Anchorage,AIN,US,,,,AP
AIO,KAIO,Municipal,41.4,-95.01667,1250,,America/Chicago,AIO,US,Atlantic,Iowa,Cass County,AP
AIP,VIAX,Ailinglapalap Island,7.266667,168.81667,0,,Pacific/Majuro,AIP,MH,,,,AP
AIR,SSOU,Aripuana,-10.25,-59.38333,1095,,America/Cuiaba,AIR,BR,,,,AP
AIS,NGTR,Arorae Island,-2.65,176.83333,45,,Pacific/Tarawa,AIS,KI,Kulia Village,Niutao,,AP
AIT,NCAI,Aitutaki Airport,-18.8364468,-159.76131004763312,78,,Pacific/Rarotonga,AIT,CK,,,,AP
AIU,NCAT,Atiu Island,-20.033333,-158.1,0,,Pacific/Rarotonga,AIU,CK,,,,AP
AIV,KAIV,George Downer,33.13333,-88.15,269,,America/Chicago,AIV,US,Aliceville,Alabama,Pickens County,AP
AIW,FYAA,Ai-ais,-27.9948193,17.596451406338325,1998,,Africa/Windhoek,AIW,NA,,,,AP
AIY,,Bader Field,39.3859082,-74.4254622,-3,,America/New_York,AIY,US,,,,AP
AIZ,KAIZ,Lee C Fine Memorial,38.0924572,-92.55351790002943,889,,America/Chicago,AIZ,US,,,,AP
AJA,LFKJ,Ajaccio Napoleon Bonaparte Airport,41.91987,8.794013,42,,Europe/Paris,AJA,FR,Ajaccio,Corsica,Departement de la Corse-du-Sud,AP
AJF,OESK,Jouf Airport,29.788668,40.101486,2208,,Asia/Riyadh,AJF,SA,Sakaka,Al Jawf,,AP
AJI,LTCO,Agri Airport,39.65,43.025,5406,,Europe/Istanbul,AJI,TR,Hamur,Agri,,AP
AJJ,GQNJ,Akjoujt,19.72837225,-14.378064835830175,383,,Africa/Nouakchott,AJJ,MR,Akjoujt,Inchiri,,AP
AJK,OIHR,Araak,34.13333,49.833332,5429,,Asia/Tehran,AJK,IR,Arak,Markazi,,AP
AJL,VELP,Aizawl Airport,23.840704799999997,92.62105703739914,1397,http://www.aai.aero/allAirports/lengpui.jsp,Asia/Kolkata,AJL,IN,Sairang,Mizoram,Aizawl,AP
AJN,FMCV,Ouani,-12.12890235,44.42886316841893,101,,Indian/Comoro,AJN,KM,Ouani,Anjouan,,AP
